,Compound,Date,Hockey Team,Negative,Neutral,Positive,Text,Tweets Ago
29,-0.4019,Mon Dec 03 04:00:05 +0000 2018,@AnaheimDucks,0.769,0.231,0.0,In case you’re having trouble with that recap link: https://t.co/jirZgi1LFC,30
30,-0.6696,Mon Dec 03 01:00:00 +0000 2018,@AnaheimDucks,0.809,0.191,0.0,"Your RED HOT Ducks return home this Wednesday to kick off a four-game homestand!

The opponent: the hated Chicago B… https://t.co/sCIBOU4jfy",31
31,0.8225,Mon Dec 03 00:35:55 +0000 2018,@AnaheimDucks,0.734,0.0,0.266,"Two more notes on today's win:

First team to rally from four goals down to win in regulation since 3/9/99 (COL @ F… https://t.co/T1uI5BClyB",32
32,0.6369,Mon Dec 03 00:13:57 +0000 2018,@AnaheimDucks,0.846,0.0,0.154,"Our last 6️⃣ days:

1️⃣➡ Beat one of the best teams in the Eastern Conference
2️⃣➡ Came from behind to sweep the Fl… https://t.co/CRyinqKwA5",33
33,0.0,Sun Dec 02 23:58:18 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Everyone thought it was over.

Everyone...EXCEPT FOR US!

📰➡ https://t.co/PUnCnKHcDt

#LetsGoDucks https://t.co/se3prjEqYW",34
34,0.6468,Sun Dec 02 23:46:38 +0000 2018,@AnaheimDucks,0.483,0.0,0.517,"Absolutely perfect #DucksHeadline, @SaveUsBobman! https://t.co/Rm1C9Du0vG",35
35,0.8225,Sun Dec 02 23:39:42 +0000 2018,@AnaheimDucks,0.743,0.0,0.257,"A note on today's win:

It marked the marked first time in club history we rallied from four goals down to win on t… https://t.co/iHrlFWrafR",36
36,-0.1027,Sun Dec 02 23:31:30 +0000 2018,@AnaheimDucks,0.887,0.113,0.0,"Getz tried to warn ‘em not to take us lightly. 

#LetsGoDucks https://t.co/Dp2kUxVfki",37
37,0.0,Sun Dec 02 23:11:29 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"M O O D 

#LetsGoDucks https://t.co/7Xq69ZLX1e",38
38,0.2401,Sun Dec 02 22:59:40 +0000 2018,@AnaheimDucks,0.902,0.0,0.098,"We've already seen some INCREDIBLE #DucksHeadline submissions.

Don't forget to get yours in now! Keep it short, ma… https://t.co/vxJvwlMJuF",39
39,0.7739,Sun Dec 02 22:49:59 +0000 2018,@AnaheimDucks,0.69,0.0,0.31,"MILESTONE ALERT:

With a win today, @RyanMiller3039 tied John Vanbiesbrouck for the all-time lead among U.S.-born g… https://t.co/O93Gc5peGU",40
40,0.4451,Sun Dec 02 22:44:41 +0000 2018,@AnaheimDucks,0.837,0.0,0.163,"WHAT. A. COMEBACK.

We score FIVE STRAIGHT GOALS to down the Caps, 6-5!

#LightThatLamp | #LetsGoDucks https://t.co/nM31xdfNSj",41
41,0.6514,Sun Dec 02 22:42:38 +0000 2018,@AnaheimDucks,0.581,0.0,0.419,"@PontusAberg IN PONTUS WE TRUST!

#LetsGoDucks https://t.co/MUQbIKVkvs",42
42,-0.6114,Sun Dec 02 22:39:32 +0000 2018,@AnaheimDucks,0.81,0.19,0.0,"Holtby heads to the bench for the extra attacker.

We have the one-goal lead late in regulation!

#LetsGoDucks",43
43,0.0,Sun Dec 02 22:35:25 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"#AnaheimDucksGoooaaalll 

PONTUS ABERG AGAIN!

WE TAKE A 6-5 LEAD!

#LetsGoDucks | @PontusAberg https://t.co/8727dH9oJa",44
44,0.0,Sun Dec 02 22:33:06 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,@teddybell3567 We'll follow up internally for ya. Just send us his name.,45
45,0.471,Sun Dec 02 22:28:11 +0000 2018,@AnaheimDucks,0.775,0.0,0.225,"Can't stop. 

Won't stop.

@HampeLindholm converts this incredible @Ryan_Kesler feed to TIE THE GAME!

#LetsGoDucks https://t.co/Pcc5tJ0XVz",46
46,0.0,Sun Dec 02 22:23:33 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"#AnaheimDucksGoooaaalll 

HAMPUS LINDHOLM! TIED GAME!

#LetsGoDucks https://t.co/u1i1WVXHNI",47
47,0.0,Sun Dec 02 22:22:14 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"@PontusAberg There was only one place Pontus could put this shot.

He nailed it!

#LetsGoDucks https://t.co/OUM7461QVZ",48
48,0.6825,Sun Dec 02 22:19:57 +0000 2018,@AnaheimDucks,0.765,0.0,0.235,"#AnaheimDucksGoooaaalll 

IN PONTUS WE TRUST!

A power-play goal brings us within one of a tie game!

#LetsGoDucks… https://t.co/lJR6T0e2h7",49
49,0.0,Sun Dec 02 22:06:20 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Third period starts now.

We need two to tie!

#LetsGoDucks https://t.co/AjsrFYQKTF",50
50,0.2225,Sun Dec 02 22:00:45 +0000 2018,@AnaheimDucks,0.572,0.196,0.232,"Give. Go. GOAL!

@RickyRakell93 and @AdamHenrique with the nifty play to cut the deficit to two!

#LetsGoDucks https://t.co/15pbaf2W9k",51
51,0.0,Sun Dec 02 21:55:46 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Two goals in 55 seconds brought us right back in this one!

We'll start with this gritty effort from who else - And… https://t.co/VTZGUi76Dl",52
52,0.4926,Sun Dec 02 21:48:19 +0000 2018,@AnaheimDucks,0.873,0.0,0.127,"There is life and there is hope.

We've clawed back to trim the Caps lead to two heading into the final frame!… https://t.co/Mo55Fj9VtI",53
53,0.0772,Sun Dec 02 21:45:51 +0000 2018,@AnaheimDucks,0.929,0.0,0.071,RT @PR_NHL: Explanation of Coach’s Challenge at 4:59 of the second period in the @AnaheimDucks/@Capitals game. https://t.co/zZsA4mjZRK #ANA…,54
54,-0.75,Sun Dec 02 21:40:58 +0000 2018,@AnaheimDucks,0.638,0.362,0.0,"#AnaheimDucksGoooaaalll 

@RickyRakell93 taps home a loose puck off the post.

We cut the deficit to two!… https://t.co/GVUKAj3WH5",55
55,0.0,Sun Dec 02 21:38:57 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"#AnaheimDucksGoooaaalll 

Cogliano keeps digging at a rebound and gets one over the line!

#LetsGoDucks https://t.co/MfDmzdkYuG",56
56,0.1779,Sun Dec 02 21:36:54 +0000 2018,@AnaheimDucks,0.884,0.0,0.116,"Caps extend their lead.

We trail, 5-1, with 6:30 left in the second period.",57
57,-0.1531,Sun Dec 02 21:17:32 +0000 2018,@AnaheimDucks,0.696,0.143,0.161,"Video review determines the play is onside.

Caps will go up, 4-1, and we're shorthanded on the failed challenge.",58
58,0.5916,Sun Dec 02 21:15:33 +0000 2018,@AnaheimDucks,0.674,0.0,0.326,"The Caps score, but we will challenge the play.

TO THE REVIEW!",59
59,0.0,Sun Dec 02 21:06:59 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Second period is underway!

We trail the Caps, 3-1.

#LetsGoDucks https://t.co/gX5XRPFBjg",60
60,0.4404,Sun Dec 02 20:48:49 +0000 2018,@AnaheimDucks,0.873,0.0,0.127,"Not the start we were looking for today.

Good news, though, is a hockey game is three periods long. There's plenty… https://t.co/RPJsjzSsrP",61
61,0.296,Sun Dec 02 20:35:38 +0000 2018,@AnaheimDucks,0.905,0.0,0.095,"Caps restore their two-goal lead.

We trail, 3-1, with 6:41 left in the first period.

Ryan Miller will come into the game.",62
62,0.0,Sun Dec 02 20:29:45 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"The Cap caught their guys taking a nap.

#LetsGoDucks https://t.co/ozNRSwV2r2",63
63,-0.126,Sun Dec 02 20:26:30 +0000 2018,@AnaheimDucks,0.508,0.259,0.234,"#AnaheimDucksGoooaaalll 

#ElCapitan with an alert play!

We cut the deficit to one.

#LetsGoDucks https://t.co/MQOJM7N4ON",64
64,-0.7351,Sun Dec 02 20:20:06 +0000 2018,@AnaheimDucks,0.677,0.323,0.0,"A bad bounce, and the puck finds its way by Gibson.

The deficit is now two.",65
65,-0.128,Sun Dec 02 20:10:58 +0000 2018,@AnaheimDucks,0.87,0.13,0.0,"Caps strike first.

We trail, 1-0, 41 seconds into this one.",66
66,0.0,Sun Dec 02 20:09:45 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Here we go! 

Puck is down and we're underway.

LIVE STREAM: https://t.co/W5B3O00Wyh
LISTEN LIVE:… https://t.co/EXn5zQ5oqf",67
67,0.0,Sun Dec 02 19:59:29 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Here's how we'll line up today against the Caps!

#LetsGoDucks https://t.co/nu7FlvPRqP",68
68,0.0,Sun Dec 02 19:58:16 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"The @select_pt scratches:

Andy Welinski, Ben Street, Josh Mahura",69
69,0.0,Sun Dec 02 19:54:07 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Here are you starters for the road trip finale:

@RickyRakell93 - #ElCapitan - @PontusAberg 

@brandon_montour -… https://t.co/ayvie4b6VO",70
70,0.0,Sun Dec 02 19:44:56 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"With points in every game of the road trip, @AdamHenrique is today's @ToyoTires Player to Watch!

#LetsGoDucks https://t.co/bb42MyfRez",71
71,0.2714,Sun Dec 02 19:34:54 +0000 2018,@AnaheimDucks,0.909,0.0,0.091,"A clean-shaven Captain and the boys are on the ice for warmups at Capital One Arena!

Get all the pregame news and… https://t.co/Wy15QbMqoP",72
72,0.8748,Sun Dec 02 18:06:29 +0000 2018,@AnaheimDucks,0.697,0.0,0.303,RT @AdamHenrique: Thanks so much for all of the Support for the month of #Movember! It’s great to see so many people get behind the cause.…,73
73,0.4199,Sun Dec 02 17:00:40 +0000 2018,@AnaheimDucks,0.872,0.0,0.128,"Ready for some afternoon hockey!

The road trip concludes with an early matchup against the defending Stanley Cup c… https://t.co/mmq0roMk7g",74
74,0.4199,Sat Dec 01 23:00:00 +0000 2018,@AnaheimDucks,0.703,0.091,0.206,"There's no place like home, and we're back next week!

Join us for our four-game homestand, starting Wednesday agai… https://t.co/p5Kxn4bWjr",75
75,0.5423,Sat Dec 01 21:01:07 +0000 2018,@AnaheimDucks,0.8,0.0,0.2,"Hey you. 

Yeah, you.

#NHLAllStar fan voting for the captains of each division's team are officially open, and we… https://t.co/iTAAeyF1td",76
76,0.0,Sat Dec 01 20:28:13 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"December wallpapers are here!

Download yours now: https://t.co/TRxFS8BxzR https://t.co/hAc8z5NqJl",77
77,0.0,Sat Dec 01 18:49:20 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Come for the late-game comeback.

Stay for the @JohnGibson35 saves!

Check out all the highlights from our overtime… https://t.co/eqjAcCQvwx",78
78,0.0,Sat Dec 01 18:28:57 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,@MikaKaakinen That would be @HampeLindholm!,79
79,0.0,Sat Dec 01 17:20:36 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"DYK: Ryan Getzlaf already held the team lead in overtime goals last night, entering the extra session with eight.… https://t.co/wQ58kEHq4H",80
80,0.6239,Sat Dec 01 05:05:29 +0000 2018,@AnaheimDucks,0.796,0.0,0.204,"MILESTONE: With the overtime win, we recorded our 400th road victory in franchise history!

#LetsGoDucks | #Ducks25 https://t.co/VJyJaHbAq3",81
81,0.5707,Sat Dec 01 04:43:02 +0000 2018,@AnaheimDucks,0.575,0.0,0.425,"Congrats on the #DucksHeadline, @LiterateGal! https://t.co/Nz61DQn7h1",82
82,0.8402,Sat Dec 01 04:08:19 +0000 2018,@AnaheimDucks,0.591,0.0,0.409,"The Good: @PontusAberg keeps his dream season rolling.

The Great: #ElCapitan's overtime, game-winning snipe.

The… https://t.co/pAvwjkktsx",83
83,0.34,Sat Dec 01 03:35:52 +0000 2018,@AnaheimDucks,0.655,0.131,0.214,"The Captain, on tonight's overtime win:

""Tonight was one of the ugliest games we played on the trip. We found a wa… https://t.co/xCXxbbqXYi",84
84,0.7777,Sat Dec 01 03:25:09 +0000 2018,@AnaheimDucks,0.702,0.0,0.298,"Another win means ANOTHER night of your #DucksHeadline submissions!

Remember - keep it clean, make it memorable an… https://t.co/UOxdxXq9mh",85
85,0.0,Sat Dec 01 03:21:31 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"🔝🧀 for the Captain!

#LetsGoDucks | #ElCapitan https://t.co/0HuFFO8t28",86
86,0.0,Sat Dec 01 03:16:11 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"#LightThatLamp!

We weather the storm and come-from-behind to take down the Hurricanes in Raleigh!

#LetsGoDucks https://t.co/hLoav7fxbz",87
87,0.0,Sat Dec 01 03:15:07 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"#AnaheimDucksGoooaaalll 

THE CAPTAIN ENDS IT IN OVERTIME!

#LetsGoDucks | #ElCapitan https://t.co/c0LyklFqI5",88
88,0.0,Sat Dec 01 03:12:51 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Overtime is underway!

#LetsGoDucks https://t.co/gC6picuYdP",89
89,0.126,Sat Dec 01 03:10:42 +0000 2018,@AnaheimDucks,0.599,0.226,0.175,"Fought back and earned a point!

Now let's get greedy and grab a win in overtime.

#LetsGoDucks https://t.co/fltgDBKFHr",90
90,0.5972,Sat Dec 01 03:06:52 +0000 2018,@AnaheimDucks,0.794,0.0,0.206,"#AnaheimDucksGoooaaalll 

In Pontus we trust!

A baseball swing ties the game with 3:50 left in regulation!… https://t.co/naCwMf0Bdf",91
91,0.0,Sat Dec 01 02:54:20 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Getzlaf rockets one and it pings off the crossbar.

When it's one of those nights, it's one of those nights.",92
92,0.0,Sat Dec 01 02:42:37 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"🤯🤯🤯

#LetsGoDucks | @JohnGibson35 https://t.co/wnDsIt9MVY",93
93,0.5837,Sat Dec 01 02:37:51 +0000 2018,@AnaheimDucks,0.613,0.0,0.387,"JOHN GIBSON AGAIN!

What a glove save!

#LetsGoDucks",94
94,0.0,Sat Dec 01 02:31:32 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Back for the third period!

We're looking for one goal to tie this one up.

#LetsGoDucks https://t.co/s0Drg4eiwu",95
95,0.0,Sat Dec 01 02:21:41 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Tune in to @DuckCalls93 following tonight's game. The guest is Pete Weber, radio voice of the Nashville Predators. 

Call in: 714-2-830-830",96
96,-0.3818,Sat Dec 01 02:10:31 +0000 2018,@AnaheimDucks,0.645,0.229,0.126,"A much better period, but we're still looking at a one-goal deficit.

#LetsGoDucks https://t.co/9oHON2pwUq",97
97,0.7482,Sat Dec 01 02:05:25 +0000 2018,@AnaheimDucks,0.715,0.0,0.285,"RT @FoxSportsWest: ""GO DUCKS!!!""

Bradley &amp; Maria, thank you for your support of the @AnaheimDucks!

#LetsGoDucks | #PrimeTicket https://t.…",98
98,0.0,Sat Dec 01 01:36:35 +0000 2018,@AnaheimDucks,1.0,0.0,0.0,"Time to turn the tide. 

We start the second period down, 1-0. 

#LetsGoDucks https://t.co/jtMsN4PgRJ",99
99,0.9157,Sat Dec 01 01:31:52 +0000 2018,@AnaheimDucks,0.432,0.0,0.568,"@JohnGibson35 Toe save and a beauty.

Toe save...AND. A. BEAUTY!

#LetsGoDucks | @JohnGibson35 https://t.co/s0BpuSamdL",100
100,0.0,Tue Dec 04 02:43:22 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,"It could be Kempe vs. Kempe tomorrow night in LA.

#Yotes Notes: https://t.co/0uk4W86Ieo",1
101,0.34,Tue Dec 04 00:00:00 +0000 2018,@ArizonaCoyotes,0.902,0.0,0.098,"For today's 🎁, we're giving one of you a 4-person Suite Level Club box for Thursday vs. WSH with food &amp; beverage in… https://t.co/tgXoqvwwru",2
102,-0.4215,Mon Dec 03 23:38:34 +0000 2018,@ArizonaCoyotes,0.797,0.203,0.0,Coach Tocchet provides injury updates and previews tomorrow's game vs. LA: https://t.co/R5MniautXk,3
103,0.0,Mon Dec 03 23:16:18 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,"""It's a team effort when a goalie has success.""

Hear from @Adin_Hill after being named the @NHL's second star of t… https://t.co/1QCMW503Gy",4
104,0.0,Mon Dec 03 19:01:28 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,Chalk talk. 📓 https://t.co/GbEbvYlf9Y,5
105,0.0,Mon Dec 03 18:57:57 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,"Practice time! 

Antti Raanta is taking reps with the team today. https://t.co/e9EjDXx5dj",6
106,0.5267,Mon Dec 03 17:34:05 +0000 2018,@ArizonaCoyotes,0.764,0.0,0.236,RT @jasondemers5: Congrats to the thin man @Adin_Hill @NHL @ArizonaCoyotes #star https://t.co/DQtRUS76Kd,7
107,0.0,Mon Dec 03 17:27:42 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,OFFICIAL: #Coyotes Recall Garland from @RoadrunnersAHL https://t.co/LYWDZs8CUJ,8
108,-0.2263,Mon Dec 03 17:13:13 +0000 2018,@ArizonaCoyotes,0.924,0.076,0.0,RT @PR_NHL: ⭐⭐@Adin_Hill stopped 59 of the 60 shots he faced and recorded his first career NHL shutout to lift the @ArizonaCoyotes to a per…,9
109,0.5707,Mon Dec 03 17:02:30 +0000 2018,@ArizonaCoyotes,0.73,0.0,0.27,"Your @NHL second star of the week. 

Congrats @Adin_Hill! ⭐️⭐️ https://t.co/Fm5ZxLenfh",10
110,0.0,Mon Dec 03 17:01:12 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,"RT @NHL: Your @Molson_Canadian Three Stars of the Week:
⭐ @markscheifele55: 5-3—8 in 4 GP
⭐⭐ @Adin_Hill: 3-0-0, 0.43 GAA, .983 SV%, 1 SO
⭐⭐…",11
111,-0.7184,Sun Dec 02 22:00:02 +0000 2018,@ArizonaCoyotes,0.75,0.25,0.0,UPDATE: #Coyotes forward Michael Grabner suffered an eye injury during the first period of last night's game vs. St… https://t.co/iQmAJaYxMi,12
112,0.6696,Sun Dec 02 21:42:33 +0000 2018,@ArizonaCoyotes,0.308,0.0,0.692,@CamCox12 Love it! 🙌,13
113,0.0,Sun Dec 02 21:40:04 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,"🔘 Led all @NHL goalies for the week with a .983 SV% and 0.43 GAA. 
 
🔘 Became the youngest goalie in #Coyotes histo… https://t.co/AkNxRT26iU",14
114,0.7574,Sun Dec 02 21:25:00 +0000 2018,@ArizonaCoyotes,0.645,0.079,0.276,"""How did he stop that?!"" 😱

November's @BestWestern Best Save goes to the kid who closed out the month with a bang:… https://t.co/NMD0iRqYFg",15
115,0.34,Sun Dec 02 19:30:00 +0000 2018,@ArizonaCoyotes,0.882,0.0,0.118,"This was a wild one against the Wild. 🙃

November's @DrinkWildTonic Play of the Month is the Alex Goligoski stretch… https://t.co/XNmN0sVfEi",16
116,0.0,Sun Dec 02 18:49:10 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,@CindiKillian 👻,17
117,0.6239,Sun Dec 02 18:44:36 +0000 2018,@ArizonaCoyotes,0.83,0.0,0.17,"Head over to Snapchat for Day 2 of our 25 Days of Giveaways! Follow and reply to win today's 🎁. 

👻: nhlcoyotes",18
118,0.4588,Sun Dec 02 18:11:50 +0000 2018,@ArizonaCoyotes,0.833,0.0,0.167,"RT @NHL: Wanna learn how to make a sweet pass?

Let @ClaytonKeller37 show you the ropes. https://t.co/SOsgIVzu68",19
119,0.5719,Sun Dec 02 17:55:46 +0000 2018,@ArizonaCoyotes,0.837,0.0,0.163,"Four goals this month that all seemed to come at the perfect time. 

November's @GanemJewelers Player of the Month… https://t.co/gyzXFgblV0",20
120,0.0,Tue Dec 04 02:43:22 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,"It could be Kempe vs. Kempe tomorrow night in LA.

#Yotes Notes: https://t.co/0uk4W86Ieo",21
121,0.34,Tue Dec 04 00:00:00 +0000 2018,@ArizonaCoyotes,0.902,0.0,0.098,"For today's 🎁, we're giving one of you a 4-person Suite Level Club box for Thursday vs. WSH with food &amp; beverage in… https://t.co/tgXoqvwwru",22
122,-0.4215,Mon Dec 03 23:38:34 +0000 2018,@ArizonaCoyotes,0.797,0.203,0.0,Coach Tocchet provides injury updates and previews tomorrow's game vs. LA: https://t.co/R5MniautXk,23
123,0.0,Mon Dec 03 23:16:18 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,"""It's a team effort when a goalie has success.""

Hear from @Adin_Hill after being named the @NHL's second star of t… https://t.co/1QCMW503Gy",24
124,0.0,Mon Dec 03 19:01:28 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,Chalk talk. 📓 https://t.co/GbEbvYlf9Y,25
125,0.0,Mon Dec 03 18:57:57 +0000 2018,@ArizonaCoyotes,1.0,0.0,0.0,"Practice time! 

Antti Raanta is taking reps with the team today. https://t.co/e9EjDXx5dj",26
126,0.5267,Mon Dec 03 17:34:05 +0000 2018,@ArizonaCoyotes,0.764,0.0,0.236,RT @jasondemers5: Congrats to the thin man @Adin_Hill @NHL @ArizonaCoyotes #star https://t.co/DQtRUS76Kd,27
